Time,TPS,Responsetime,Responsetimestandarddeviation
10,12978,14856.0,10090.853333333334
20,14753,13062.0,9497.71
30,14742,13085.0,8919.976666666667
40,13933,13829.666666666666,11426.029999999999
50,14933,12913.0,8761.073333333334
60,14641,13149.0,8586.123333333333
70,14413,13388.666666666666,9738.806666666665
80,14307,13479.666666666666,12118.826666666668
90,14393,13392.333333333334,11036.806666666665
100,14213,13565.333333333334,10233.156666666668
110,13779,13982.333333333334,17736.206666666665
120,13807,13966.666666666666,11213.663333333332
130,14459,13335.333333333334,9604.883333333333
140,14241,13550.333333333334,11838.163333333332
150,14140,13640.0,12165.076666666666
160,13814,13950.0,14334.1
170,13739,13999.666666666666,12949.933333333334
180,14611,13224.666666666666,9386.419999999998
190,14005,13782.666666666666,12039.99
200,13517,14267.0,13678.823333333334
210,13565,14217.666666666666,12901.506666666668
220,13688,14085.333333333334,10859.023333333333
230,14094,13675.0,13701.803333333335
240,14657,13153.333333333334,8607.073333333334
250,14646,13170.0,8676.023333333333
260,13654,14118.0,10724.816666666666
270,13372,14422.0,13213.853333333333
280,12772,15093.333333333334,15607.553333333335
290,12749,15100.333333333334,9748.596666666666
300,13813,13973.0,9862.01
310,13815,13948.333333333334,10484.86
320,14255,13518.333333333334,11993.983333333332
330,13311,14487.333333333334,10681.596666666666
340,13725,14039.666666666666,10176.756666666666
350,14185,13577.333333333334,9870.81
360,13185,14672.666666666666,17010.883333333335
370,14506,13304.333333333334,9654.609999999999
380,14084,13708.666666666666,11188.743333333334
390,14251,13546.333333333334,10568.766666666668
400,14027,13762.333333333334,10373.506666666666
410,13590,14224.666666666666,10327.663333333334
420,14523,13306.0,9041.036666666667
430,14872,12996.666666666666,7547.650000000001
440,14087,13714.333333333334,12969.946666666665
450,13833,13963.0,9661.986666666666
460,13437,14350.666666666666,15904.07
470,13378,14494.0,12869.696666666665
480,13477,14334.333333333334,15170.543333333333
490,13171,14655.666666666666,27417.036666666667
500,14805,13071.0,10837.11
510,13188,14656.333333333334,18168.126666666667
520,14938,12925.333333333334,8397.513333333334
530,14799,13038.666666666666,9824.793333333333
540,13760,14033.0,13843.4
550,14127,13664.666666666666,11320.13
560,13161,14657.666666666666,15791.493333333332
570,13552,14250.666666666666,14077.963333333333
580,13366,14429.0,13246.720000000001
590,13114,14725.666666666666,12362.656666666668
600,13815,13977.333333333334,9674.736666666666
610,13234,14565.666666666666,10213.246666666666
620,12862,15013.0,14165.230000000001
630,14169,13668.0,10433.339999999998
640,13834,13943.666666666666,10673.206666666667
650,13783,14005.0,16268.266666666668
660,14253,13537.666666666666,11893.513333333334
670,13690,14108.0,10972.220000000001
680,13806,13975.666666666666,10875.976666666667
690,13925,13873.666666666666,10530.970000000001
700,13800,13984.0,14744.096666666666
