Time,TPS,Response time,Response time standard deviation
10,14572,15546.666666666666,14276.919999999998
20,18353,11218.666666666666,6263.436666666667
30,19479,10089.666666666666,7242.263333333333
40,22768,8998.666666666666,6530.009999999999
50,23827,8899.333333333334,10649.92
60,24386,9247.0,6674.983333333334
70,25917,8724.666666666666,6841.04
80,23041,9301.0,10011.466666666667
90,24146,10163.333333333334,14783.003333333332
100,26999,8090.666666666667,5010.88
110,24666,8881.333333333334,6737.536666666667
120,23405,10035.666666666666,13017.943333333335
130,26585,8367.0,5224.77
140,23428,9013.333333333334,8991.613333333333
150,24798,8995.333333333334,9670.793333333333
160,19921,11316.333333333334,11047.516666666668
170,17284,11435.666666666666,5824.566666666667
180,17009,12058.333333333334,8961.97
190,14643,14830.333333333334,25226.39333333333
200,17320,11251.666666666666,8998.283333333333
210,16179,12448.666666666666,7254.06
220,16724,11698.666666666666,7475.643333333333
230,16842,11570.666666666666,8138.029999999999
240,15332,13231.0,18634.743333333332
250,16441,11764.0,7127.179999999999
260,18195,11025.0,6169.2
270,15445,12552.666666666666,7546.366666666666
280,15368,12605.333333333334,14025.196666666665
290,17538,11435.0,8698.273333333333
300,16811,11393.0,7092.323333333334
310,15698,12452.333333333334,11882.263333333334
320,13990,14105.333333333334,13124.53
330,13318,13670.0,9341.980000000001
340,12507,17428.0,30747.803333333333
350,15011,12711.0,7737.626666666667
360,14476,13122.333333333334,10820.203333333333
370,13598,14828.0,15402.980000000001
380,15048,12868.0,7833.540000000001
390,14897,12574.333333333334,7881.100000000001
400,13754,14563.333333333334,18531.21
410,14158,13827.0,8858.916666666666
420,14885,12961.0,7883.87
430,14534,13286.666666666666,8139.55
440,14514,13370.0,11145.643333333333
450,15093,12812.0,8220.503333333334
460,14588,13215.333333333334,7768.016666666667
470,13680,14179.666666666666,10429.426666666666
480,14033,13230.666666666666,7054.490000000001
490,13355,15029.333333333334,15599.596666666666
500,11959,17104.333333333332,27675.533333333336
510,14307,13348.333333333334,9224.599999999999
520,13590,14602.666666666666,15596.226666666667
530,13835,13788.666666666666,12852.32
540,14655,13444.0,7947.156666666667
550,13936,14015.666666666666,11822.663333333336
560,14342,13581.666666666666,9072.656666666668
